Participant_ID,Name,Age,Gender,Day,Sport Event,Score,College,State,Satisfaction_Rating,Feedback
P3197,Participant_829,19,Other,2,Running,92,College D,Kerala,1,Facilities need improvement.
P3197,Participant_829,19,Other,3,Table Tennis,55,College C,Kerala,1,Looking forward to next time.
P3197,Participant_829,19,Other,4,Volleyball,7,College B,Karnataka,2,Amazing competition!
P3197,Participant_829,19,Other,5,Cycling,29,College F,Andhra Pradesh,1,Would love more variety in events.
P1664,Participant_106,18,Other,1,Badminton,26,College F,Andhra Pradesh,5,Great energy and atmosphere!
P1664,Participant_106,18,Other,2,Basketball,49,College B,Karnataka,5,Amazing competition!
P1664,Participant_106,18,Other,3,Running,42,College E,Tamil Nadu,3,Had a great time!
P1664,Participant_106,18,Other,4,Table Tennis,57,College D,Kerala,3,Enjoyed every moment!
P1664,Participant_106,18,Other,5,Badminton,32,College C,Kerala,2,Amazing competition!
P2419,Participant_877,26,Male,1,Football,100,College D,Kerala,1,Enjoyed every moment!
P2419,Participant_877,26,Male,2,Basketball,68,College F,Andhra Pradesh,1,Enjoyed every moment!
P2419,Participant_877,26,Male,3,Running,65,College E,Tamil Nadu,5,Great energy and atmosphere!
P2419,Participant_877,26,Male,4,Badminton,83,College C,Kerala,2,Facilities need improvement.
P2419,Participant_877,26,Male,5,Badminton,74,College C,Kerala,2,Great energy and atmosphere!
P6083,Participant_803,19,Other,1,Volleyball,20,College E,Tamil Nadu,3,Well managed but could use better timing.
P6083,Participant_803,19,Other,2,Table Tennis,57,College D,Kerala,5,Facilities need improvement.
P6083,Participant_803,19,Other,3,Running,1,College A,Karnataka,2,Had a great time!
P6083,Participant_803,19,Other,4,Football,83,College F,Andhra Pradesh,3,Facilities need improvement.
P6083,Participant_803,19,Other,5,Badminton,85,College A,Karnataka,2,Great energy and atmosphere!
P6816,Participant_941,20,Other,1,Football,55,College B,Karnataka,5,Loved the experience!
P6816,Participant_941,20,Other,2,Table Tennis,14,College F,Andhra Pradesh,3,Great energy and atmosphere!
P6816,Participant_941,20,Other,3,Swimming,99,College D,Kerala,5,Had a great time!
P6816,Participant_941,20,Other,4,Tennis,43,College D,Kerala,4,Great energy and atmosphere!
P6816,Participant_941,20,Other,5,Archery,96,College F,Andhra Pradesh,4,Great energy and atmosphere!
P8301,Participant_236,24,Other,1,Table Tennis,25,College A,Karnataka,5,Loved the experience!
P8301,Participant_236,24,Other,2,Basketball,22,College C,Kerala,5,Amazing competition!
P8301,Participant_236,24,Other,3,Cycling,44,College A,Karnataka,4,Looking forward to next time.
P8301,Participant_236,24,Other,4,Swimming,73,College A,Karnataka,4,Well managed but could use better timing.
P8301,Participant_236,24,Other,5,Running,36,College E,Tamil Nadu,1,Looking forward to next time.
P5383,Participant_727,24,Other,1,Badminton,44,College E,Tamil Nadu,5,Would love more variety in events.
P5383,Participant_727,24,Other,2,Football,32,College F,Andhra Pradesh,4,Enjoyed every moment!
P5383,Participant_727,24,Other,3,Running,32,College D,Kerala,5,Would love more variety in events.
P5383,Participant_727,24,Other,4,Archery,16,College C,Kerala,5,Had a great time!
P5383,Participant_727,24,Other,5,Swimming,80,College F,Andhra Pradesh,4,Looking forward to next time.
P9449,Participant_276,25,Female,1,Football,93,College F,Andhra Pradesh,5,Enjoyed every moment!
P9449,Participant_276,25,Female,2,Basketball,28,College D,Kerala,4,Enjoyed every moment!
P9449,Participant_276,25,Female,3,Badminton,48,College C,Kerala,1,Could be better organized.
P9449,Participant_276,25,Female,4,Cycling,62,College F,Andhra Pradesh,4,Amazing competition!
P9449,Participant_276,25,Female,5,Running,8,College C,Kerala,4,Looking forward to next time.
P9206,Participant_357,18,Other,1,Table Tennis,76,College B,Karnataka,2,Looking forward to next time.
P9206,Participant_357,18,Other,2,Archery,20,College B,Karnataka,4,Great energy and atmosphere!
P9206,Participant_357,18,Other,3,Swimming,14,College A,Karnataka,4,Looking forward to next time.
P9206,Participant_357,18,Other,4,Football,36,College E,Tamil Nadu,4,Would love more variety in events.
P9206,Participant_357,18,Other,5,Table Tennis,86,College D,Kerala,3,Could be better organized.
P4954,Participant_588,24,Male,1,Badminton,100,College F,Andhra Pradesh,4,Looking forward to next time.
P4954,Participant_588,24,Male,2,Cycling,56,College C,Kerala,3,Had a great time!
P4954,Participant_588,24,Male,3,Swimming,44,College A,Karnataka,1,Enjoyed every moment!
P4954,Participant_588,24,Male,4,Archery,85,College D,Kerala,3,Could be better organized.
P4954,Participant_588,24,Male,5,Swimming,79,College B,Karnataka,1,Facilities need improvement.
P2116,Participant_465,21,Female,1,Football,61,College E,Tamil Nadu,5,Could be better organized.
P2116,Participant_465,21,Female,2,Tennis,95,College C,Kerala,1,Facilities need improvement.
P2116,Participant_465,21,Female,3,Badminton,81,College C,Kerala,5,Well managed but could use better timing.
P2116,Participant_465,21,Female,4,Cycling,87,College B,Karnataka,5,Would love more variety in events.
P2116,Participant_465,21,Female,5,Football,87,College C,Kerala,2,Facilities need improvement.
P1542,Participant_976,23,Female,1,Cycling,96,College F,Andhra Pradesh,2,Enjoyed every moment!
P1542,Participant_976,23,Female,2,Badminton,64,College B,Karnataka,5,Looking forward to next time.
P1542,Participant_976,23,Female,3,Football,44,College E,Tamil Nadu,5,Well managed but could use better timing.
P1542,Participant_976,23,Female,4,Basketball,76,College C,Kerala,5,Facilities need improvement.
P1542,Participant_976,23,Female,5,Football,26,College A,Karnataka,2,Facilities need improvement.
P3533,Participant_611,26,Male,1,Badminton,53,College B,Karnataka,5,Amazing competition!
P3533,Participant_611,26,Male,2,Running,32,College F,Andhra Pradesh,4,Loved the experience!
P3533,Participant_611,26,Male,3,Running,24,College F,Andhra Pradesh,1,Had a great time!
P3533,Participant_611,26,Male,4,Volleyball,76,College E,Tamil Nadu,5,Well managed but could use better timing.
P3533,Participant_611,26,Male,5,Tennis,5,College A,Karnataka,1,Loved the experience!
P9817,Participant_634,23,Male,1,Badminton,63,College D,Kerala,3,Had a great time!
P9817,Participant_634,23,Male,2,Swimming,70,College A,Karnataka,1,Would love more variety in events.
P9817,Participant_634,23,Male,3,Swimming,36,College F,Andhra Pradesh,4,Enjoyed every moment!
P9817,Participant_634,23,Male,4,Running,15,College B,Karnataka,3,Would love more variety in events.
P9817,Participant_634,23,Male,5,Running,58,College A,Karnataka,1,Could be better organized.
P4644,Participant_483,23,Other,1,Archery,56,College B,Karnataka,5,Great energy and atmosphere!
P4644,Participant_483,23,Other,2,Badminton,52,College F,Andhra Pradesh,4,Looking forward to next time.
P4644,Participant_483,23,Other,3,Cycling,44,College F,Andhra Pradesh,2,Amazing competition!
P4644,Participant_483,23,Other,4,Basketball,5,College E,Tamil Nadu,4,Well managed but could use better timing.
P4644,Participant_483,23,Other,5,Tennis,54,College B,Karnataka,2,Loved the experience!
P7961,Participant_572,22,Male,1,Basketball,12,College D,Kerala,1,Great energy and atmosphere!
P7961,Participant_572,22,Male,2,Basketball,96,College D,Kerala,4,Amazing competition!
P7961,Participant_572,22,Male,3,Swimming,9,College C,Kerala,5,Had a great time!
P7961,Participant_572,22,Male,4,Archery,66,College F,Andhra Pradesh,4,Looking forward to next time.
P7961,Participant_572,22,Male,5,Badminton,42,College B,Karnataka,1,Had a great time!
P9601,Participant_144,25,Male,1,Archery,38,College A,Karnataka,5,Could be better organized.
P9601,Participant_144,25,Male,2,Basketball,69,College B,Karnataka,1,Loved the experience!
P9601,Participant_144,25,Male,3,Badminton,90,College C,Kerala,1,Well managed but could use better timing.
P9601,Participant_144,25,Male,4,Football,24,College E,Tamil Nadu,3,Facilities need improvement.
P9601,Participant_144,25,Male,5,Running,66,College A,Karnataka,1,Would love more variety in events.
P1678,Participant_701,20,Female,1,Football,54,College F,Andhra Pradesh,3,Well managed but could use better timing.
P1678,Participant_701,20,Female,2,Running,45,College F,Andhra Pradesh,4,Could be better organized.
P1678,Participant_701,20,Female,3,Table Tennis,95,College B,Karnataka,1,Had a great time!
P1678,Participant_701,20,Female,4,Volleyball,95,College F,Andhra Pradesh,1,Amazing competition!
P1678,Participant_701,20,Female,5,Swimming,60,College E,Tamil Nadu,4,Loved the experience!
P3661,Participant_723,18,Other,1,Table Tennis,54,College F,Andhra Pradesh,4,Facilities need improvement.
P3661,Participant_723,18,Other,2,Basketball,95,College F,Andhra Pradesh,3,Would love more variety in events.
P3661,Participant_723,18,Other,3,Tennis,80,College B,Karnataka,3,Great energy and atmosphere!
P3661,Participant_723,18,Other,4,Running,97,College D,Kerala,1,Loved the experience!
P3661,Participant_723,18,Other,5,Volleyball,15,College B,Karnataka,5,Could be better organized.
P3838,Participant_739,18,Female,1,Archery,81,College A,Karnataka,1,Looking forward to next time.
P3838,Participant_739,18,Female,2,Football,41,College A,Karnataka,5,Well managed but could use better timing.
P3838,Participant_739,18,Female,3,Running,21,College A,Karnataka,5,Well managed but could use better timing.
P3838,Participant_739,18,Female,4,Football,42,College D,Kerala,1,Amazing competition!
P3838,Participant_739,18,Female,5,Cycling,87,College D,Kerala,3,Facilities need improvement.
P3471,Participant_913,21,Other,1,Archery,73,College F,Andhra Pradesh,1,Would love more variety in events.
P3471,Participant_913,21,Other,2,Volleyball,35,College D,Kerala,4,Would love more variety in events.
P3471,Participant_913,21,Other,3,Basketball,29,College C,Kerala,2,Great energy and atmosphere!
P3471,Participant_913,21,Other,4,Swimming,8,College C,Kerala,3,Great energy and atmosphere!
P3471,Participant_913,21,Other,5,Basketball,95,College D,Kerala,2,Amazing competition!
P4282,Participant_98,26,Female,1,Basketball,22,College F,Andhra Pradesh,1,Well managed but could use better timing.
P4282,Participant_98,26,Female,2,Volleyball,64,College C,Kerala,3,Well managed but could use better timing.
P4282,Participant_98,26,Female,3,Table Tennis,31,College B,Karnataka,5,Had a great time!
P4282,Participant_98,26,Female,4,Volleyball,93,College C,Kerala,1,Amazing competition!
P4282,Participant_98,26,Female,5,Cycling,53,College F,Andhra Pradesh,5,Loved the experience!
P9757,Participant_471,18,Female,1,Tennis,38,College F,Andhra Pradesh,3,Looking forward to next time.
P9757,Participant_471,18,Female,2,Table Tennis,23,College F,Andhra Pradesh,5,Looking forward to next time.
P9757,Participant_471,18,Female,3,Swimming,42,College C,Kerala,3,Enjoyed every moment!
P9757,Participant_471,18,Female,4,Football,44,College F,Andhra Pradesh,2,Enjoyed every moment!
P9757,Participant_471,18,Female,5,Swimming,64,College E,Tamil Nadu,2,Would love more variety in events.
P3893,Participant_456,22,Male,1,Basketball,95,College A,Karnataka,5,Loved the experience!
P3893,Participant_456,22,Male,2,Badminton,15,College E,Tamil Nadu,5,Facilities need improvement.
P3893,Participant_456,22,Male,3,Tennis,75,College D,Kerala,4,Facilities need improvement.
P3893,Participant_456,22,Male,4,Archery,34,College B,Karnataka,3,Would love more variety in events.
P3893,Participant_456,22,Male,5,Running,52,College F,Andhra Pradesh,2,Facilities need improvement.
P5551,Participant_647,22,Other,1,Volleyball,84,College C,Kerala,5,Looking forward to next time.
P5551,Participant_647,22,Other,2,Running,59,College F,Andhra Pradesh,1,Looking forward to next time.
P5551,Participant_647,22,Other,3,Running,75,College E,Tamil Nadu,1,Looking forward to next time.
P5551,Participant_647,22,Other,4,Running,53,College A,Karnataka,2,Great energy and atmosphere!
P5551,Participant_647,22,Other,5,Volleyball,14,College E,Tamil Nadu,2,Great energy and atmosphere!
P6445,Participant_951,23,Male,1,Table Tennis,55,College D,Kerala,3,Well managed but could use better timing.
P6445,Participant_951,23,Male,2,Table Tennis,35,College B,Karnataka,4,Would love more variety in events.
P6445,Participant_951,23,Male,3,Swimming,81,College C,Kerala,2,Amazing competition!
P6445,Participant_951,23,Male,4,Swimming,65,College D,Kerala,1,Amazing competition!
P6445,Participant_951,23,Male,5,Tennis,70,College D,Kerala,5,Well managed but could use better timing.
P5891,Participant_505,24,Male,1,Swimming,64,College A,Karnataka,3,Looking forward to next time.
P5891,Participant_505,24,Male,2,Basketball,97,College F,Andhra Pradesh,4,Enjoyed every moment!
P5891,Participant_505,24,Male,3,Archery,3,College E,Tamil Nadu,1,Loved the experience!
P5891,Participant_505,24,Male,4,Tennis,20,College C,Kerala,5,Looking forward to next time.
P5891,Participant_505,24,Male,5,Badminton,81,College F,Andhra Pradesh,5,Amazing competition!
P1787,Participant_926,22,Male,1,Swimming,11,College D,Kerala,4,Facilities need improvement.
P1787,Participant_926,22,Male,2,Tennis,21,College E,Tamil Nadu,2,Looking forward to next time.
P1787,Participant_926,22,Male,3,Basketball,47,College B,Karnataka,2,Great energy and atmosphere!
P1787,Participant_926,22,Male,4,Basketball,53,College B,Karnataka,4,Had a great time!
P1787,Participant_926,22,Male,5,Tennis,47,College A,Karnataka,3,Facilities need improvement.
P6174,Participant_908,26,Other,1,Archery,93,College C,Kerala,4,Looking forward to next time.
P6174,Participant_908,26,Other,2,Football,84,College A,Karnataka,2,Had a great time!
P6174,Participant_908,26,Other,3,Archery,80,College E,Tamil Nadu,4,Great energy and atmosphere!
P6174,Participant_908,26,Other,4,Tennis,13,College A,Karnataka,5,Looking forward to next time.
P6174,Participant_908,26,Other,5,Cycling,21,College E,Tamil Nadu,2,Great energy and atmosphere!
P7320,Participant_262,20,Male,1,Archery,50,College F,Andhra Pradesh,2,Facilities need improvement.
P7320,Participant_262,20,Male,2,Swimming,13,College A,Karnataka,5,Looking forward to next time.
P7320,Participant_262,20,Male,3,Swimming,44,College B,Karnataka,4,Would love more variety in events.
P7320,Participant_262,20,Male,4,Badminton,60,College C,Kerala,3,Had a great time!
P7320,Participant_262,20,Male,5,Running,67,College B,Karnataka,3,Facilities need improvement.
P3969,Participant_412,18,Female,1,Basketball,74,College B,Karnataka,5,Enjoyed every moment!
P3969,Participant_412,18,Female,2,Running,84,College E,Tamil Nadu,2,Well managed but could use better timing.
P3969,Participant_412,18,Female,3,Volleyball,57,College B,Karnataka,1,Would love more variety in events.
P3969,Participant_412,18,Female,4,Basketball,73,College E,Tamil Nadu,1,Loved the experience!
P3969,Participant_412,18,Female,5,Cycling,60,College C,Kerala,3,Facilities need improvement.
P4545,Participant_38,24,Female,1,Archery,56,College C,Kerala,1,Facilities need improvement.
P4545,Participant_38,24,Female,2,Basketball,8,College C,Kerala,5,Had a great time!
P4545,Participant_38,24,Female,3,Tennis,19,College E,Tamil Nadu,3,Well managed but could use better timing.
P4545,Participant_38,24,Female,4,Archery,57,College F,Andhra Pradesh,1,Had a great time!
P4545,Participant_38,24,Female,5,Volleyball,9,College D,Kerala,2,Looking forward to next time.
P4167,Participant_505,22,Male,1,Swimming,28,College D,Kerala,1,Amazing competition!
P4167,Participant_505,22,Male,2,Swimming,64,College A,Karnataka,5,Would love more variety in events.
P4167,Participant_505,22,Male,3,Archery,27,College B,Karnataka,5,Loved the experience!
P4167,Participant_505,22,Male,4,Basketball,55,College B,Karnataka,3,Enjoyed every moment!
P4167,Participant_505,22,Male,5,Running,78,College B,Karnataka,3,Enjoyed every moment!
P8108,Participant_711,25,Other,1,Swimming,4,College D,Kerala,1,Amazing competition!
P8108,Participant_711,25,Other,2,Archery,26,College D,Kerala,3,Amazing competition!
P8108,Participant_711,25,Other,3,Archery,31,College F,Andhra Pradesh,3,Facilities need improvement.
P8108,Participant_711,25,Other,4,Running,34,College E,Tamil Nadu,1,Loved the experience!
P8108,Participant_711,25,Other,5,Tennis,76,College E,Tamil Nadu,3,Well managed but could use better timing.
P7986,Participant_573,22,Female,1,Volleyball,73,College C,Kerala,4,Facilities need improvement.
P7986,Participant_573,22,Female,2,Archery,22,College B,Karnataka,2,Well managed but could use better timing.
P7986,Participant_573,22,Female,3,Badminton,62,College C,Kerala,2,Amazing competition!
P7986,Participant_573,22,Female,4,Table Tennis,7,College A,Karnataka,3,Loved the experience!
P7986,Participant_573,22,Female,5,Tennis,87,College E,Tamil Nadu,1,Could be better organized.
P6713,Participant_265,20,Male,1,Swimming,25,College C,Kerala,2,Well managed but could use better timing.
P6713,Participant_265,20,Male,2,Swimming,35,College F,Andhra Pradesh,4,Could be better organized.
P6713,Participant_265,20,Male,3,Football,86,College D,Kerala,5,Would love more variety in events.
P6713,Participant_265,20,Male,4,Swimming,18,College D,Kerala,4,Could be better organized.
P6713,Participant_265,20,Male,5,Archery,56,College C,Kerala,3,Would love more variety in events.
P3691,Participant_389,21,Female,1,Table Tennis,76,College D,Kerala,4,Could be better organized.
P3691,Participant_389,21,Female,2,Football,11,College C,Kerala,3,Loved the experience!
P3691,Participant_389,21,Female,3,Table Tennis,30,College A,Karnataka,2,Would love more variety in events.
P3691,Participant_389,21,Female,4,Tennis,93,College C,Kerala,5,Great energy and atmosphere!
P3691,Participant_389,21,Female,5,Running,1,College B,Karnataka,2,Loved the experience!
P2962,Participant_53,26,Female,1,Badminton,41,College C,Kerala,2,Well managed but could use better timing.
P2962,Participant_53,26,Female,2,Football,89,College F,Andhra Pradesh,1,Great energy and atmosphere!
P2962,Participant_53,26,Female,3,Tennis,34,College D,Kerala,3,Had a great time!
P2962,Participant_53,26,Female,4,Cycling,70,College A,Karnataka,3,Enjoyed every moment!
P2962,Participant_53,26,Female,5,Running,86,College B,Karnataka,1,Loved the experience!
P5562,Participant_973,23,Female,1,Badminton,24,College A,Karnataka,2,Enjoyed every moment!
P5562,Participant_973,23,Female,2,Running,60,College C,Kerala,5,Facilities need improvement.
P5562,Participant_973,23,Female,3,Football,73,College B,Karnataka,4,Would love more variety in events.
P5562,Participant_973,23,Female,4,Volleyball,70,College F,Andhra Pradesh,3,Looking forward to next time.
P5562,Participant_973,23,Female,5,Swimming,44,College A,Karnataka,3,Amazing competition!
P6025,Participant_221,26,Female,1,Cycling,80,College E,Tamil Nadu,3,Could be better organized.
P6025,Participant_221,26,Female,2,Volleyball,23,College F,Andhra Pradesh,1,Great energy and atmosphere!
P6025,Participant_221,26,Female,3,Archery,14,College D,Kerala,3,Had a great time!
P6025,Participant_221,26,Female,4,Running,83,College F,Andhra Pradesh,1,Great energy and atmosphere!
P6025,Participant_221,26,Female,5,Cycling,43,College E,Tamil Nadu,3,Great energy and atmosphere!
P6319,Participant_360,23,Male,1,Badminton,44,College B,Karnataka,1,Had a great time!
P6319,Participant_360,23,Male,2,Cycling,46,College F,Andhra Pradesh,2,Facilities need improvement.
P6319,Participant_360,23,Male,3,Table Tennis,46,College C,Kerala,2,Well managed but could use better timing.
P6319,Participant_360,23,Male,4,Basketball,30,College D,Kerala,2,Would love more variety in events.
P6319,Participant_360,23,Male,5,Tennis,78,College E,Tamil Nadu,4,Had a great time!
P1439,Participant_408,24,Other,1,Badminton,90,College A,Karnataka,2,Loved the experience!
P1439,Participant_408,24,Other,2,Cycling,83,College B,Karnataka,5,Great energy and atmosphere!
P1439,Participant_408,24,Other,3,Football,27,College F,Andhra Pradesh,5,Amazing competition!
P1439,Participant_408,24,Other,4,Running,86,College E,Tamil Nadu,1,Would love more variety in events.
P1439,Participant_408,24,Other,5,Table Tennis,53,College B,Karnataka,3,Looking forward to next time.
P7410,Participant_192,21,Female,1,Running,8,College A,Karnataka,2,Enjoyed every moment!
P7410,Participant_192,21,Female,2,Table Tennis,21,College E,Tamil Nadu,2,Had a great time!
P7410,Participant_192,21,Female,3,Table Tennis,76,College D,Kerala,3,Facilities need improvement.
P7410,Participant_192,21,Female,4,Table Tennis,24,College B,Karnataka,4,Could be better organized.
P7410,Participant_192,21,Female,5,Football,88,College C,Kerala,1,Had a great time!
P2553,Participant_783,24,Male,1,Table Tennis,39,College E,Tamil Nadu,1,Could be better organized.
P2553,Participant_783,24,Male,2,Football,72,College F,Andhra Pradesh,1,Amazing competition!
P2553,Participant_783,24,Male,3,Basketball,24,College B,Karnataka,2,Well managed but could use better timing.
P2553,Participant_783,24,Male,4,Archery,18,College F,Andhra Pradesh,1,Would love more variety in events.
P2553,Participant_783,24,Male,5,Football,79,College D,Kerala,3,Had a great time!
P5398,Participant_596,21,Other,1,Archery,36,College B,Karnataka,2,Had a great time!
P5398,Participant_596,21,Other,2,Archery,78,College D,Kerala,2,Loved the experience!
P5398,Participant_596,21,Other,3,Running,89,College A,Karnataka,1,Looking forward to next time.
P5398,Participant_596,21,Other,4,Tennis,70,College F,Andhra Pradesh,4,Amazing competition!
P5398,Participant_596,21,Other,5,Tennis,14,College E,Tamil Nadu,4,Enjoyed every moment!
P1255,Participant_369,22,Other,1,Running,22,College B,Karnataka,2,Great energy and atmosphere!
P1255,Participant_369,22,Other,2,Badminton,52,College E,Tamil Nadu,4,Looking forward to next time.
P1255,Participant_369,22,Other,3,Table Tennis,13,College A,Karnataka,2,Great energy and atmosphere!
P1255,Participant_369,22,Other,4,Swimming,21,College A,Karnataka,3,Could be better organized.
P1255,Participant_369,22,Other,5,Archery,19,College B,Karnataka,2,Enjoyed every moment!
P3047,Participant_141,19,Other,1,Tennis,18,College A,Karnataka,1,Loved the experience!
P3047,Participant_141,19,Other,2,Table Tennis,83,College D,Kerala,3,Enjoyed every moment!
P3047,Participant_141,19,Other,3,Cycling,54,College D,Kerala,4,Could be better organized.
P3047,Participant_141,19,Other,4,Football,90,College F,Andhra Pradesh,5,Had a great time!
P3047,Participant_141,19,Other,5,Swimming,94,College A,Karnataka,1,Could be better organized.
P5781,Participant_136,22,Female,1,Football,38,College E,Tamil Nadu,2,Facilities need improvement.
P5781,Participant_136,22,Female,2,Swimming,72,College D,Kerala,5,Well managed but could use better timing.
P5781,Participant_136,22,Female,3,Archery,55,College B,Karnataka,5,Loved the experience!
P5781,Participant_136,22,Female,4,Football,11,College E,Tamil Nadu,3,Loved the experience!
P5781,Participant_136,22,Female,5,Cycling,68,College E,Tamil Nadu,4,Had a great time!
P1081,Participant_585,26,Other,1,Basketball,25,College C,Kerala,4,Facilities need improvement.
P1081,Participant_585,26,Other,2,Running,59,College B,Karnataka,1,Could be better organized.
P1081,Participant_585,26,Other,3,Running,11,College C,Kerala,3,Loved the experience!
P1081,Participant_585,26,Other,4,Swimming,1,College E,Tamil Nadu,2,Well managed but could use better timing.
P1081,Participant_585,26,Other,5,Table Tennis,33,College F,Andhra Pradesh,1,Looking forward to next time.
P4024,Participant_246,23,Other,1,Basketball,80,College E,Tamil Nadu,3,Well managed but could use better timing.
P4024,Participant_246,23,Other,2,Running,15,College F,Andhra Pradesh,3,Had a great time!
P4024,Participant_246,23,Other,3,Cycling,44,College C,Kerala,5,Looking forward to next time.
P4024,Participant_246,23,Other,4,Tennis,21,College A,Karnataka,4,Had a great time!
P4024,Participant_246,23,Other,5,Football,22,College A,Karnataka,5,Facilities need improvement.
P4164,Participant_130,20,Other,1,Football,100,College F,Andhra Pradesh,5,Amazing competition!
P4164,Participant_130,20,Other,2,Tennis,43,College E,Tamil Nadu,3,Enjoyed every moment!
P4164,Participant_130,20,Other,3,Swimming,88,College A,Karnataka,3,Amazing competition!
P4164,Participant_130,20,Other,4,Running,63,College E,Tamil Nadu,5,Loved the experience!
P4164,Participant_130,20,Other,5,Archery,46,College C,Kerala,1,Amazing competition!
P5379,Participant_520,26,Male,1,Table Tennis,76,College A,Karnataka,5,Facilities need improvement.
P5379,Participant_520,26,Male,2,Table Tennis,44,College E,Tamil Nadu,2,Looking forward to next time.
P5379,Participant_520,26,Male,3,Swimming,19,College D,Kerala,2,Looking forward to next time.
P5379,Participant_520,26,Male,4,Running,23,College B,Karnataka,5,Amazing competition!
P5379,Participant_520,26,Male,5,Swimming,79,College E,Tamil Nadu,4,Amazing competition!
P4989,Participant_18,18,Other,1,Basketball,12,College B,Karnataka,3,Had a great time!
P4989,Participant_18,18,Other,2,Table Tennis,86,College B,Karnataka,4,Had a great time!
P4989,Participant_18,18,Other,3,Volleyball,94,College A,Karnataka,3,Facilities need improvement.
P4989,Participant_18,18,Other,4,Running,18,College A,Karnataka,1,Amazing competition!
P4989,Participant_18,18,Other,5,Table Tennis,92,College D,Kerala,1,Could be better organized.
P2356,Participant_233,24,Female,1,Badminton,81,College F,Andhra Pradesh,3,Could be better organized.
P2356,Participant_233,24,Female,2,Cycling,74,College F,Andhra Pradesh,4,Great energy and atmosphere!
P2356,Participant_233,24,Female,3,Basketball,43,College A,Karnataka,5,Amazing competition!
P2356,Participant_233,24,Female,4,Running,21,College B,Karnataka,4,Great energy and atmosphere!
P2356,Participant_233,24,Female,5,Tennis,88,College B,Karnataka,5,Amazing competition!
P5228,Participant_663,25,Female,1,Basketball,81,College F,Andhra Pradesh,1,Amazing competition!
P5228,Participant_663,25,Female,2,Basketball,67,College F,Andhra Pradesh,5,Facilities need improvement.
P5228,Participant_663,25,Female,3,Archery,80,College A,Karnataka,3,Facilities need improvement.
P5228,Participant_663,25,Female,4,Archery,43,College B,Karnataka,5,Loved the experience!
P5228,Participant_663,25,Female,5,Table Tennis,81,College D,Kerala,1,Great energy and atmosphere!
P7803,Participant_75,23,Female,1,Badminton,36,College D,Kerala,3,Great energy and atmosphere!
P7803,Participant_75,23,Female,2,Badminton,98,College A,Karnataka,4,Facilities need improvement.
